中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
描绘千秋伟业,腾飞万里鹏程
申奥成功入世告捷国足出亚洲新世纪赢新胜利,香港回归澳门收复台湾期统一大中华庆大团圆
祖国繁荣昌盛,人民福寿安康
狗岁乘龙生壮志,猪年朝凤展宏图
国步小康春锦绣,民臻谐美世祥安
四化千秋鼎盛,九天万象更新
幸福堂前无限乐,长春花下有余香
入世龙得雨,申奥马加鞭
虎去雄风惊五岳,兔开健步跃三江
明媚春光百花竞放,昌隆国运万马奔腾
大地春风温我宅,中天日丽到吾家
马年已绘丰收景,羊岁继吟致富诗
发财路通东西南北,文明花开春夏秋冬
欣逢柳辫凝眸绿,喜见桃腮映面红
抱诚守真美德昭明品性,尊老爱幼亮点彰显和谐
下磨杵功夫终酬壮志,学取经本领大显神威
龙人兴水利旱涝双防座座丰碑载德载功歌夏禹,文化下农村贫愚两治行行足迹送书送戏布春晖
万里河山兴特色,九州儿女庆团圆
盛世开元春万象,丰年贺岁醉千杯
车轮滚滚描长卷,公路条条奔小康
化雨宜人家家畅饮贺新岁,春风送暖处处欢歌奔小康
善政暖人心经济腾飞闻国际,东风苏大地春光灿烂耀神州
人尽才地献宝百业争效益共同开拓新局面,风送暖鸟传情万类竞自由一起装扮好河山
见义勇为称好汉,知难而进乃英雄
修渠攀岭碧流飞千里,引水上山银河落九天
喜爆千声歌盛世,腊梅万点报新春
斩棘披荆党是先锋队,移山倒海团为后备军
旧有山河澄气象,新来世纪满精神
鸟鸣花艳春光好,人寿年丰喜事多
花开天下福,马跃人间春
民富九州乐,国强五岳高
横笛喜奏丰收曲,泼墨欣描胜利花
四面青山抱,九州赤帜扬
腊尽春回风传喜讯,人欢马叫雪兆丰年
奥运春风传喜讯,神舟壮士立奇功
瑞雪莹莹百片千片万片,红梅灼灼一丛二丛三丛
骏业已开休驻马,鸿图再展莫亡羊
心连两岸盼芳春永驻,情系三通期皓月长圆
瑞雪无心抹去五颜六色,春风有意送来万紫千红
千古传奇惊日月,九州揽胜越春秋
满天喜气九州若画,遍地春光四海皆春
五羊献穗六合同春此处仙人常驻足,八骏驰原九州共庆当前盛世自开心
时来运到家昌盛,心想事成百业兴
春风送暖百花艳,特色兴邦万户歌
法似春风廿载频频襄社稷,心如晓日四时脉脉照家邦
千帆竞发千层浪,万鸟争鸣万树春
衣食足而缘国盛,光景好乃知党恩
泽沾雨润杨柳依依亲万户,民富物丰财源滚滚涌三江
科圃奇葩千山秀,艺苑硕果万里香
根扎三农敢与春风争动力,宝传四海诚将极品献知音
善政和风指海峡,红心桃李报春晖
万象更新春光好,九州巨变喜事多
百花吐艳春风暖,万物生辉国运昌
春织千山锦绣,旗扬万里雄风
全新气象从今始,大好风光自古然
春风染沃野处处一片绿,喜报铺新途年年满堂红
华夏虎年虎添翼,神州龙诞龙腾空
春归门第三阳泰,吉庆家庭万事昌
春风得意辉煌景灿辉煌世,政策舒心富贵花开富贵家
春风舒冻柳,瑞雪兆丰年
吉祥年有吉祥运,富贵路通富贵家
乾坤日月祥光照,龙虎风云瑞气生
向阳花木三春秀,得意马蹄一路风
大有作为新岁月,无边春色好江山
风和日丽春常驻,人寿年丰福永存
岁岁年丰添美满,家家幸福庆团圆
开天辟地劳一辈人老雄心在,创家立业新一代年少志气高
迎门有紫气,排闼看青山
月满香江迎金马,云开镜海盼台澎
万里江山如画,百年世纪长春
春风得意马蹄疾,政策称心干劲高
春为一岁首,梅占百花魁
党播恩光昭日月,民沾福泽壮山河
勤劳门第春常在,和睦人家福自来
铁石梅花气概,山川香草风流
善政常施民永福,宏图大展国长春
爆竹烟花除旧岁,佳联美酒庆新春
国逢盛世百花艳,党振雄风万象新
古国新花尤艳丽,神州硕果更丰盈
遥对青山物象和谐龙献瑞,近临碧水花园锦绣凤来仪
丰收酒酿千家福,改革花开万里春
四化蓝图图图美,九州春色色色新
人增寿算,天转阳和
四面抬头皆见喜,万家祝福共迎春
开门放眼春风绿,入室浸心翰墨香
子弟兵保家卫国,英雄汉跃马扬鞭
持家勤与俭,建国富而强
改天换地年年乐,植树造林处处新
猴辞旧岁美年达,鸡唱新春福运来
生死海中念佛第一,人天路上作福为先
万里春风苏草木,一番政绩得人心
振兴伟大中华道路驰骋千里马,迎接崭新世纪人民团结一条心
人民团结山河壮,祖国富强世纪新
捷报频传万里雄风惊宇宙,宏图再展九天春色壮河山
乾坤浮正气,世纪会春风
励精图治雄心抒壮志,足智多谋胜纪建奇功
一声爆响,万里春回
情系三农开富路,花香四季现芳春
种树栽茶山聚宝,放鱼养蟹水藏金
旧岁乘龙传捷报,新春跃马奋精神
春运洽融天日永,阳和发育物华新
风和日丽,人杰地灵
两袖清风造福大众,一身正气振兴中华
锣鼓咚咚欢盛世,歌声阵阵唱太平
三讲四时播澍雨,一国两制架金桥
喜气降人间街头巷尾多歌舞,春风盈海内塞北江南尽画图
春风化雨九州花满地,爆竹飘香万户喜盈门
阶前春色浓如许,户外风光翠欲流
千门杨柳绿,万户梅花红
九州春色年年好,四化宏图日日新
乾坤正气,日月光华
吉羊得草延春色,紫燕衔泥落好家
人欢马跃康庄道,燕舞莺歌幸福春
千里江山春永驻,万年事业国常兴
细雨吟春诗醉酒,和风吻柳梦消魂
鱼跃鹰飞滚滚春潮催改革,月圆花好融融喜气入人家
平安竹报全家庆,富贵花开合院荣
欣观一九九九四海繁荣富庶,祝愿二零零零五洲安定和平
林海春光好,雪原气象新
深信念佛句句是金刚般若,切愿往生念念显妙明本心
阵阵春风拂嫩柳,潺潺碧水润新荷
高速公路高新技术高科技,新构华章新颖主题新思维
四化宏图开盛世,一邦美景数今朝
春风掩映千门柳,碧涧萦回十里花
百花争艳山河美,群鸟欢歌岁月甜
家家畅饮丰年酒,户户高歌盛世春
千里银装增瑞气,一桂红杏报芳春
鸟韵入帘时正午,花香浮动日初长
三春温暖勤劳户,五福光临和睦家
工农携手共跨千里马,干群并肩同上一层楼
蹄花沾晓露,柳浪饰春风
日丽风和春光灿,党廉政善岁月甜
励志兴国贵庶同心齐奋勇,明德济世天人一道共和谐
春风化雨千山秀,红日增辉万木荣
春风吹腐浊,瑞雪兆丰年
拥政爱民培岳德,降龙伏虎铸军魂
举国欢腾迎来五十庆,全民奋起跨进二千年
文坛生异彩,艺苑溢芬芳
谋生梦好鸡常破,索债人多犬不闲
面对春光情激奋,心怀祖国志昂扬
报晓鸡声拂晓钟声声声悦耳,赏心国事舒心家事事事关情
田园脱俗气,山水含清辉
人欢马叫修水利,虎跃龙腾闹春耕
喜鹊歌新曲,梅花早报春
时和世泰,物阜民安
红梅戏雪添诗画,翠柳摇金报吉祥
健笔如椽歌尧天舜日,繁花似锦赖化雨春风
蛇吐宝珠辞旧岁,燕衔柳叶贺新春
层楼小院花及第,绿酒红联福盈门
岁首欣同谈改革,春初喜继奋长征
五洲情沸迎新纪,四海歌欢瞻未来
军民团结共筑万里长城,鱼水情深同绘四化宏图
从政当思焦裕禄,为民应效孔繁森
国肇繁荣昌盛,民欣长治久安
江南洒绿茵锦绣一方天地,塞北飞白雪银装半壁河山
声声爆竹声声喜,阵阵春风阵阵歌
书作良田百世耕之不尽,勤为至宝一生用则有余
美酒千杯歌盛世,红联万户颂祥年
岭上梅花艳,楼前曙色明
旧年除旧俗,新岁启新知
树石接蓬莱三色矞云成幄,轩窗骞象纬千秋宝箓凝图
辛勤创业千家富,科技兴农五谷丰
神鞭催骏马,祖国壮金瓯
党兴军旺,法严政明
民歌盛世诗千首,人祝年丰酒数杯
堂前紫燕对语,户外黄莺联鸣
万马争飞跃,百花展笑颜
秣马厉兵操胜券,强邦兴国献良谋
春宅垂柳春永驻,福地过霞福长留
春日融融万树繁花竞放,红旗猎猎千骑骏马争先
孟春之月方营室,宝盖进豕恰是家
风正江山吐秀,心齐国运昌隆
虎跃龙腾碧海,莺歌燕舞春风
只因一夜春风到,顿教满园瑞草喧
玉宇气清鹰冲霄汉,神州春暖鲤跃龙门
车窗似轴屏摄进满眼诗情画意,公路如玉带牵来万里绿水青山
日新月异家家乐,万紫千红处处春
春夏秋冬春为首,梅桃李杏梅占先
文明处世家风好,正直为人品德高
港澳双归圆玉镜,陆台一统固金瓯
树社会正气,学雷锋精神
国运日上千祥至,众志成城万福来
斟衢醲化调天醴,击壤欢谣洽德源
奔小康永不停步,上台阶再绘蓝图
农户百猪乐,神州万象新
红花香千里,春风暖万家
祖国山明水秀,中华人杰地灵
脱贫致富年年富,敬业争荣代代荣
紫气祥光碧海雄风劲,欢歌笑语春山瑞霭多
笔走龙蛇书好对,字呈珠玉出佳联
潮涌九州添特色,花开四季竞风流
大地春回多锦绣,江山雪后更妖娆
九万云程催骥足,千里征途赖贤才
雅士堂中无俗客,名师手下有高徒
日新月异金鸡唱,鸟语花香溪水流
辞祥骏马恋丰岁,献瑞灵羊贺吉年
喜登新纪,乐步锦程
爷爷寿比常青树,孙孙年如初放花
名欲留芳多种德,庭思聚雅广藏书
迎春添新禧,开业发大财
五谷丰登春意满,千家兴旺富源长
人间多美景,大地足春光
春归柳梢鸟声响,花放梅枝生气浓
海宇安恬圆峤方壶开福地,天阊詄荡右平左砌上熙台
冬去蛇留诗意里,春来马入画图中
围箱网布金钩欣吟渔歌情韵,养鲟蟥培蟹鳖巧做水产文章
惠风沐浴农家乐,盛世和谐画景新
商品时新交易广,财源茂盛往来多
邻睦风亦暖,家和雪自香
庚晨日暖春来早,午院花香蝶舞忙
三阳从地起,五福自天来
深恩红赤日,忠实老黄牛
伟略宏图扶世安邦大地生辉皆特色,和美丽日沧桑正道神州昌盛尽新颜
锦绣春明花富贵,琅玕昼静竹平安
勤勤恳恳不愁没有摇钱树,俭俭省省哪怕难得聚宝盆
燕舞桃烟醉,莺歌柳浪轻
春盈四海风光美,花漫九州景色娇
门浴春风梅吐艳,户生虎气鸟争鸣
一派山河呈锦绣,万家灯火乐升平
爆竹一两声人间改岁,梅花四五点天下皆春
万紫千红地,花团锦簇天
新喜新春新世纪,好人好事好生活
月里嫦娥舒袖舞,人间玉兔报春来
入世共赢金蛇喜舞,与时俱进紫骏欢腾
养猪能致富,有志莫忧贫
兢兢业业育桃李,勤勤恳恳做园丁
人间传喜讯一元复始,大地发春华万木争荣
继往开来建设现代化,踌躇满志开发大西北
草长莺飞春意闹,山清水秀彩云归
举杯共饮新春酒,联韵高吟合璧篇
春光永驻,喜迎新春
国强出自方针正,家富由于政策良
东亚腾龙欣有日,北京申奥喜成功
齐歌治世和谐韵,共赋新春喜庆篇
室无金银有正气,胸有道义无私心
马蹄得意奔新路,鹊舌顺心报好春
煤山高耸穿云雾,铁水奔流映彩虹
春风拂地千家喜,鸿雁传书万户欢
萱幄日方长百岁旨甘惭禄薄,云司秋不冷一门桃李觉春多
喜事开心脾,春光亮眼眉
效虎豪吟放怀歌富岁,闻鸡起舞挥笔颂春光
尽改一言堂鸟飞鱼跃,远谋千载业柳暗花明
上岗理当爱岗克已奉公自有正气如虹真情似火,迎春更要惜春闻鸡起舞誓为人生添彩事业增辉
十六大春风化雨,○三年喜气盈庭
红梅傲雪迎新岁,爆竹催人步小康
耕者有牛皆种地,神州无处不欢歌
台峡千帆朝故里,春风万马赴前程
港返牛年开盛世,澳归兔岁奋新程
花发三春春汛早,楫击四海海潮高
忠心报国真君子,孝道传家大丈夫
稳定九州盛,和谐万事兴
神州臻百福,盛世集千祥
春风吹春光明媚,阳光照万物生辉
莫看人短,不恃己长
灵羊捷足登新境,骏马奋蹄向未来
时雨遍沾芳径草,丽天争放向阳花
政善人和入世欣乘千里马,日新月异兴邦更上一层楼
万树梅花开岭山,一支春信寄江南
悬鱼流芳百世,纳贿遗臭万年
羊群拥起千堆玉,稻浪浮来万亩金
羊来马去财源旺,虎跃龙腾富路长
科教兴农雍聚宝,文明致富雅摇钱
雪海波翻承浩荡,香山风涌意悠扬
申奥成功情系一一载,足球出线梦圆四四年
鱼游深水,鸟占高枝
猪子一身皆是宝,亥年万事俱呈金
欢歌盈大地,春意满神州
日挂中天普照九州国度,春回大地共绘四化宏图
莺歌燕舞跨新纪,虎跃龙腾迈锦程
鹰燕舞长空万里江山添淑景,龙蛇腾大泽千年画卷绘宏图
雪映梅花更艳,春归柳色尤青
一夜欣逢双世纪,五更喜跨两千年
门庭多喜气,山水遍春光
柳绿桃红都是革新气象,鸢飞鱼跃无非奋斗精神
共创振兴新业绩,疾书改革大文章
喜创千秋大业,殷期万众小康
大地回春山河壮丽,阳光普照玉宇澄清
鸡豚之畜毋失其时可以致富矣,梨桔之苗广栽其圃安得愁穷哉
金蛇狂舞去化作苍龙终跃海,天马行空来可记赤兔曾卧沙
玉龙战罢欣奏凯,金蛇舞起喜迎春
爆竹声声人间福,礼花朵朵天下春
日丽风和春意暖,山青水秀好诗多
山欢水笑民风顺,燕舞莺歌国运通
龙腾丰稔岁,蛇舞吉庆年
百年大地回元气,一统山河呈太平
春色满园春水东流,红杏出墙人寿年丰
栉比楼群呈壮景,纵横路网蔚奇观
银蛇带去峥嵘岁,骏马迎来锦绣春
春风化雨千山翠,政策归心万众欢
港澳双归千秋乐,陆台一统万代兴
九州日丽春光好,四海风清气象新
人和春永驻,政稳世清平
大地欢腾春回有意,前程广阔日进无疆
三中溢彩神州美,四海笙歌歌盛世
富庶新村堪入画,升平盛世好吟诗
西昌火箭升春临南国飞金凤,北阙风云会日照东方起巨龙
辞狗年歌声阵阵齐颂祖国輝煌业绩,迎猪岁爆竹声声共绘社会和谐蓝图
玉兔月中勤捣药,金牛地上恪耕田
时和世泰春光好,人寿年丰淑气新
猴岁吉祥竹梅报喜报祥至,鸡年幸福莺燕衔春衔福来
旭日生辉暖树黄莺歌宛转,春风得意高天紫燕舞翩跹
壮丽关山迎晓月,风流人物在中华
申奥成功天地阔,争光报国气氛浓
瞩目欣喜春早到,抬头乐见燕归来
放飞白鸽传春信,高举红旗灿国光
财源涌起千重浪,宝地聚来万两金
冲出亚洲喜迎奥运莫忘卧薪尝胆,走向世界欢约五环更需秣马厉兵
春风万里开新纪,红日千山举大旗
中国燃圣火,大地显龙威
兴邦多上策,富国仗良谋
云蒸画栋家乡美,花簇新村岁月长
旗唯红色艳,月是故乡明
凤啭高梧迎百福,燕翔华厦乐三春
三春喜庆三阳泰,五谷丰登五福临
农家日月年年好,祖国山河处处新
虎添双翼前程远,国展宏图事业新
迎新春同享老区文化,过大年共兴和谐临沂
中华大家庭和谐度岁,自然一盘棋共享新春
九囿风和一寸邮花开万里,三胞韵美八行笺月照双心
志同道合百年好,地久天长幸福多
柳絮随风去,桃花逐水来
旗展千花笑,春来万马奔
电视机前辞旧岁偕欢半夜,互联网上贺新春并喜五洲
春至阳回千顷绿,时来运转万象新
江山欲揽胜,梅柳笑迎春
讴歌祖国千秋鼎盛,喜庆人民百福频臻
迎春爆竹普天笑,献岁红梅满院香
岁且更始,时乃日新
祖国风光绚丽,人民福寿安宁
爆竹响千家人间改岁,宏图描四化祖国皆春
和谐社会繁荣景,勤奋人家富贵春
紫荆花开金牛喜,菡萏香飘玉兔欢
玉凤还巢年丰物阜,金龙起舞国富民殷
科技财神尊上座,吉祥猪崽报新春
得意春风催快马,解人新岁献灵羊
缩千里为咫尺,联两地为一家
世纪情怀如旭日,青春理想似朝霞
晴空丽日江山锦绣风光美,翔凤腾龙华夏繁荣气象新
着眼未来,立足本职
善政为民为政善,安居乐业乐居安
致富条条是道,国强步步登天
帝泽即阳春此日均沾立仗马,圣朝无阙事小臣愿作不鸣蝉
花香鸟语春常在,海晏河清国太平
花香招鸟语,马跃起龙图
玉堂浮瑞气,金室耀祥光
梅开透春信,雪化见松贞
腊梅报喜,飞雪迎春
丰岁龙腾盈喜气,新年蛇跃涌春潮
党树新风三代表,民耕乐土一犁春
龙盘福地财源旺,凤落吉宅事业兴
去岁无霜天孕玉,今春有雨地承霖
啼鸟唱枝头春风归柳上,小康舒岁月人面似桃花
杨柳村中生喜气,芙蓉国里尽朝晖
碧湖柳动轻舟过,小院花开彩蝶飞
旗展五星光日月,花开四季丽山川
国泰民安众星朝北斗,风和日丽百鸟向南枝
生财猪拱户,致富燕迎春
四化宏图开大业,千秋幸福奠宏基
家家喜结文明果,处处盛开科技花
醴泉喷宇宙,甘露洒神州
喜观海树葱茏日,笑见山花烂漫时
大地迎春柳伴梅香招蜂蝶,文坛焕彩笔掀墨浪舞龙蛇
民生有幸,国运无疆
人尽其材定兴旺,物尽其用必富强
八方财富八方景,十里春风十里街
比翼齐飞岂论夫尊妻贱,连枝共育何分子贵女卑
快马加鞭万里长征始于足下,争分夺秒四化宏图绘在今朝
春风春雨引春色,新岁新年开新篇
马去蹄香北国又添千里马,羊来春暖南疆再现五仙羊
皋应辟春阳瑞气常浮五雉,羲和回日驭卿云时捧双龙
瑞雪预兆丰收景,腊梅喜报跃进春
金猴玉兔弄春色,紫燕黄莺弹妙音
满怀生意春风蔼,一点公心秋月明
周昭王甲寅年佛生西域,汉明帝乙卯岁法流东土
和谐孕育繁荣景,勤俭铺开富裕图
国登强盛境,民过幸福年
东风遍天下,春色满人间
梅心浴曙色,柳眼望春光
神犬退休曾经国泰民安金满地,天蓬驾到亦是春风得意福盈门
甲子开元江山添秀色,东风化雨天地共长春
承平盛世千行旺,得意春风万象新
新风增国祚,春色耀人寰
神州岁月跨新纪,大地山河改旧观
四时花似锦,万众面皆春
科学春天驰捷报,文明时代汇强音
新村喜绘小康画,小院欣吟大富诗
新纪新年新气象,好天好地好春光
满眼春风绿,盈门喜气浓
春联迎春入春户,喜鹊报喜盈喜门
日丽风和景艳,人欢马叫春新
地利乃发财之宝,人和是致富之根
马拓康庄道,羊铺锦绣云
阳光普照园丁心坎春意暖,雨露滋润桃李枝头蓓蕾红
山河溢彩,岁月流金
大漠逢春千寨绿,孤城映日万山红
乘改革东风似花似锦山河美,沐和谐玉露如酒如歌岁月甜
红梅预报金门晓,绿柳新添绣陌春
龙马精神驰大道,鲲鹏志向搏高天
紫燕巢屋千家乐,喜鹊登梅万户春
法制春风扶大地,精神财富满乾坤
夜至春敲天乍暖,晨投花绽地尤香
时盛岁新河岳高吟诗世界,年丰人寿江山沉醉酒春秋
紫燕黄莺布谷,红梅绿柳迎春
旭日无私辉宇宙,春风有意泽人民
高堂结彩,华宅生辉
科学种田金银财宝春潮涌,勤劳创业福寿康宁气象新
鹏举长空九万里,马驰盛纪二千年
岭岭红花红岭岭,山山绿树绿山山
铁水奔流报喜,钢花怒放迎春
战鼓催春春秀丽,红旗引路路光明
文明盛世书千卷,姹紫艺坛画万屏
格致好修身所以齐家治国,诗书能养性从而正纪立风
猪肥粮茂盛,民富国昌隆
改革迎来千载福,东风绣出万家春
天意顺人心顺党政千帆顺,奥运成世贸成军民万事成
喜炮声中辞旧岁,红梅香里庆新春
良辰逢雪霁,瑞气霭春晖
继往开来臻锦绣,与时俱进创辉煌
江山添秀色,大地发春华
贺岁烟花开富贵,迎春烛炬照祯祥
盛会导航兴骏业,宣言指路壮雄程
政策摧春春财旺,科学赐福福满门
日月红光照,乾坤喜气多
庆新年千家万户贴红对,点春景五岳三山披绿装
泽雨千山翠,东风万树红
一九九九喜事频繁歌盛世,二零零零前程似锦看龙飞
桃李艳开三月雨,梅花香送九天风
四季春为首,百花梅在先
朵朵红花因日艳,条条富路为民开
虎跃龙腾奔四化,虎跃龙腾兴大业
诚信系千家倩东风共织人间锦绣,真情连万众挥彩笔同描社会和谐
野火烧不尽,春风吹又生
披荆斩棘长征路,织锦描红四化图
社会公德职业道德家庭美德文明新风似繁花吐艳,夫妻爱情长幼亲情邻里友情优良传统如百宝藏身
五福百福全家福,千春万春满堂春
一代英才从幼育,九州俊彦振中兴
人民十亿皆尧舜,征程万里遍东风
发展诗篇春作序,和谐旋律党调弦
两手茧花芳岁月,一身农艺富山乡
青春有限多奉献,事业无穷少蹉跎
春开新局百花灿,国展宏图万户欢
东风和畅歌声朗,紫气蔚然景色新
信心百倍迎新纪,干劲十足奔锦程
壮丽北京五星托五环申奥惊喜,少年中国三代启三步入世腾飞
山河旖旎春来早,家国辉煌福到频
迎新春处处春风拂面,祝喜酒家家喜气盈庭
社会文明臻大治,人民幸福贺新年
世纪百年史,神州万载春
艰苦奋斗传万家家家致富,励精图治兴百业业业更新
诗歌盛世辉煌业,歌颂沂蒙锦绣春
庆今朝海晏河清风恬浪静,欣此日民康物阜人寿年丰
山川正本春常在,河水清源果自香
盼小儿聪明活泼,祝老人长寿健康
人逢盛世情无限,猪拱华门岁有余
一轮红日开新宇,万里春风绣绿洲
年景佳山山水水欢歌奏,春色美户户家家笑语稠
愿为河山添锦,敢与日月争辉
一枝红杏沾春雨,两贴春联喷墨香
国运昌隆咸国庆,家庭和睦合家欢
一枝月桂九天梦固成往事,万朵红霞百迭衣再庆新元
春色满人间九万里风鹏正举,朝霞遍宇内五千年云雀长鸣
财源滚进勤劳户,幸福濒临节俭家
金龙狂舞舞腾九州华夏千般暖,骏马奔驰驰骋万里江山一片春
科技花开香世纪,文明果盛喜人间
莺梭织出添花锦,燕剪裁来特色春
绿叶扶花好,青春为国雄
小康舒岁月,大治固江山
冰封两岸春和解,海晏九州国泰平
九州开泰运,万福启春华
春光秀色收眼底看人间幸福,春风暖意入襟怀喜盛世太平
东风浩荡江山如画,祖国繁荣大地皆春
喜鹊枝头闹,蝶蝴蕊上飞
运营拓展双向路,种养加工一条龙
堂堂正正做人纵使清贫亦富贵,认认真真干事虽无壮举也英雄
日丽花增色,月圆鸟放歌
潜心改革鲲鹏展翅,锐意创新龙马腾空
勤为摇钱树,俭是聚宝盆
春风着力催芳草,益鸟开心唱暖枝
六合回春郊外梅花堤外树,九州聚宝山中果木水中鱼
激浊扬清清则开朗朗朗乾坤昭盛世,脱贫致富富而思源源源雨露润苍生
陋室往来无俗客,寒家谈笑有鸿儒
盛世龙人兴伟业,春风惠政展宏图
旗飞何方旗飞骏马嘶风处,春出哪里春出京城决策中
南水北调水润南北,西气东输气贯西东
新春贴留吉祥草,骏马图挂墨韵斋
梅开五瓣浓抹三阳景,竹报三多淡妆四季春
江山留胜意,杨柳荟卿云
风回山野波争舞,春到人间花怒开
观念更新绿女红男皆可爱,亲情依旧春华秋实总相宜
华坛竞秀,文苑争芳
旧河山容颜不旧,新世纪气象更新
鸣莺传燕信,策马赴羊年
花开朝日地,富致勤俭家
吉祥喜入光荣户,幸福常临勤奋人
澳岛归宗湔耻辱,新春把酒庆团圆
芳春永驻九州地,皓月常圆两岸情
春风吹绿门前树,彩灯映红窗上花
春联换尽千家旧,爆竹催开万象新
放开改革阳春曲,两制三通白雪歌
鸿图大展年年好,前程似锦步步高
财亲智慧,福伴文明
万里锦绣河山靠十亿人民装点,八旬峥嵘岁月赖三代领袖导航
一言九鼎山河动,万户千村日月新
青春有限宜珍惜,事业无穷务奋勤
水秀山青花竞放,滩平浪止燕争归
洪范五福先言富,大学十章半理财
栽竹栽松竹隐凤凰松隐鹤,培山培水山藏虎豹水藏龙
晴点龙飞去,珠还蛇舞来
红旗映日,瑞雪迎春
春风送暖花千树,骏马扬蹄路万程
群鸥戏水,众鹤游天
百花争艳三春景,万象呈辉四化图
人人欢庆丰收岁,户户讴歌胜利年
文明兴镇前程远,道德持家后步宽
岁月峥嵘应知花甲易屈指珍惜少壮,江山锦绣乐与赤子同存心服务人民
江山大好英雄健,天地多情草木春
春风掩映千门柳,暖雨催开万径花
无边春色妆山水,有庆年头腾虎龙
马首是瞻三代表,羊毫竞谱两文明
喜庆新春同把酒,欢歌盛世共吟诗
浩荡东风腾大地,秀妍春色沃神州
万民怀美德,四海乐尧天
拥军优属全民乐,卫国保家战士荣
春回大地春光好,福满人间福气浓
扶贫济困送温暖,协力同心开富源
人和政善升平世,柳绿桃红锦绣春
雪映丰收景,梅报胜利春
海晏河清逢盛世,花香日暖乐新春
江山似锦,祖国万春
桂馥兰馨梅吐玉,龙飞豹变凤呈丹
雪消梅绽玉,风细柳摇金
天接云涛地连芳草改革风潮遍及大江南北,情同骨肉根系炎黄团圆心愿波延海峡东西
信息灵通财帛富,勤劳致富粮棉丰
雪里寒梅红处处,堤边春雨落纷纷
鞭炮声声高歌幸福,春联幅幅恭贺新年
种竹培花存雅兴,守廉立信树高风
人间博爱和为贵,天下大同谐是金
四面八方传捷报,千家万户浴春晖
春露秋霜连广宇,羊肠鸟道变通途
滚滚财源财进户,频频喜事喜临门
户户金花报喜,家家紫燕迎春
岁步寅年喜庆团圆同把酒,珠还合浦欢歌一统共迎春
瑞雪漫天舞,红梅着意开
红旗指引康庄道,祖国笑迎改革年
鱼跃清波澈,莺啼众绿新
锦绣大中华山舞水歌玉景纷呈千卷画,和谐新世纪民殷国富心花独占一枝春
文章须纳风云气,翰墨应催骏马图
国兴特色芳千古,党引春风乐万民
九天鸿鹄奋,四化巨龙腾
千村碧柳迎风舞,万树红梅斗雪开
锦绣河山党肇尧天新运,弦歌夏甸民欣舜日清平
祥云瑞气,吉庆有余
瑞日祥云呈盛世,人寿年丰庆升平
雪消残腊处,春到早梅边
百株松千株梅万竿修竹,五日风十日雨一抹春山
胜地盈春锦绣沂蒙开盛象,天蓬献福辉煌骏业壮中天
风正帆扬得胜令,路宽马跃凯旋门
家运每随国运盛,小龙总傍大龙飞
金鸡报晓续金猴前路金光万丈,福地来风增福气新春福运满门
千山披翠绿,万里尽朝晖
神州—派春色,祖国无限生机
治国施良策,改革育英才
鸿雁来宾破雾穿云传捷报,绿衣使者翻山越岭沐春风
万里春风陶美德,百年事业冶新人
天地英雄气,乾坤锦绣春
东南西北和谐韵,春夏秋冬顺畅风
燕子争泥黄坡,人家晒网绿洲
雨润葱茏风送暖,山披锦绣水含情
鞭炮声声报喜,红灯盏盏迎春
鸡鸣催晓月,燕语唤春风
福鹿吉羊三元开泰,尧天舜日万象更新
人逢盛世皆添笑,花到阳春尽展眉
棉白如银光似玉,花黄似锦色如金
山青水秀风光好,柳暗花明春景新
欢辞狗守太平岁,喜庆猪牵康富年
虎跃龙腾碧海黄山妆玉宇,莺歌燕舞春风旭日蔚神州
草木滋荣春意满,人民幸福党恩深
九州圆月辉四海,两岸春风度万家
姹紫嫣红春灿灿,千村万户喜洋洋
促安定讲文明人心大快,迎新春展宏图前景辉煌
山水含芳意,风云入壮图
百尺飞泉鸣震谷,一声长啸势惊天
春风绿染千家树,旭日红飞万座山
日丽风和春天到,柳绿花红紫燕飞
风调雨顺年成好,业旺家兴国运昌
龙飞凤舞,月满春盈
瑞日芝兰香宅第,春风棠棣振家声
九天日月开新运,万里笙歌乐太平
大吕黄钟韶颂和谐笙歌协奏八音曲,小园紫陌花开富贵雨露勤催六合春
人兴财旺年年好,财运亨通步步高
雪化冰消高山绿涨小溪满,风和日丽故国花繁旧燕来
人寿国强家富,年丰花好月圆
江山不老,祖国长春
屋后树木添新绿,门前田园迎春风
玉兔机灵承虎气,金乌活跃显狮威
九域迎春九域辉煌惊世界,三军报捷三军威武卫中华
新年新春新景色,好人好事好风光
太平真富贵,春色大文章
天翻地覆开新宇,马啸人欢奔小康
万紫千红百花齐放,三江四海五谷丰登
家居化日光天下,人在春风和气中
静泰怡神瑞霭光辉临黼扆,冲融契道祥风蔼吉畅文轩
施善政九州昌盛,用贤才百业兴隆
人逢治世居栖稳,运际阳春气象新
党风民风社会风气好,天新地新精神面貌新
紫燕展翅腾柳浪,金猴攀援上春山
桃花已恨三层浪,玉树长含万里风
家家桌上丰收酒,户户窗前胜利花
辞岁红梅开五瓣,迎春新俗倡三风
万众一心奔四化,千秋百世乐尧天
朝曙江山丽,春辉世纪新
雪兆丰年丛岭翠,春荣曙色满江红
五谷丰登仓禀满,万民富裕党恩深
文笔总多情春联满写新春意,英年须努力壮志早酬少壮时
退田还湖美化中华新环境,栽草种树回归世界大自然
